date,family,online,listed
2026-07-21,Emotet,0,1
2026-07-21,QakBot,1,4
2026-07-21,_total,1,5
2026-07-22,Emotet,0,1
2026-07-22,QakBot,1,4
2026-07-22,_total,1,5
2026-07-23,Emotet,0,1
2026-07-23,QakBot,1,4
2026-07-23,_total,1,5
2026-07-24,Emotet,0,1
2026-07-24,QakBot,1,4
2026-07-24,_total,1,5
2026-07-25,Emotet,0,1
2026-07-25,QakBot,1,4
2026-07-25,_total,1,5
2026-07-26,Emotet,0,1
2026-07-26,QakBot,1,4
2026-07-26,_total,1,5
2026-07-27,Emotet,0,1
2026-07-27,QakBot,1,4
2026-07-27,_total,1,5
2026-07-28,Emotet,0,1
2026-07-28,QakBot,1,4
2026-07-28,_total,1,5
2026-07-29,Emotet,0,1
2026-07-29,QakBot,1,4
2026-07-29,_total,1,5
2026-07-30,Emotet,0,1
2026-07-30,QakBot,1,4
2026-07-30,_total,1,5
2026-07-31,Emotet,0,1
2026-07-31,QakBot,1,4
2026-07-31,_total,1,5
2026-08-01,Emotet,0,1
2026-08-01,QakBot,1,4
2026-08-01,_total,1,5
2026-08-03,Emotet,0,1
2026-08-03,QakBot,1,4
2026-08-03,_total,1,5
2026-08-04,Emotet,0,1
2026-08-04,QakBot,1,4
2026-08-04,_total,1,5
2026-08-05,Emotet,0,1
2026-08-05,QakBot,1,4
2026-08-05,_total,1,5
2026-08-06,Emotet,0,1
2026-08-06,QakBot,1,4
2026-08-06,_total,1,5
2026-08-07,Emotet,0,1
2026-08-07,QakBot,1,4
2026-08-07,_total,1,5
2026-08-08,Emotet,0,1
2026-08-08,QakBot,1,4
2026-08-08,_total,1,5
2026-08-09,Emotet,0,1
2026-08-09,QakBot,1,4
2026-08-09,_total,1,5
2026-08-10,Emotet,0,1
2026-08-10,QakBot,1,4
2026-08-10,_total,1,5
2026-08-11,Emotet,0,1
2026-08-11,QakBot,1,4
2026-08-11,_total,1,5
2026-08-12,Emotet,0,1
2026-08-12,QakBot,1,4
2026-08-12,_total,1,5
2026-08-13,Emotet,0,1
2026-08-13,QakBot,1,4
2026-08-13,_total,1,5
2026-08-14,Emotet,0,1
2026-08-14,QakBot,1,4
2026-08-14,_total,1,5
