observed_date,model_version,n_scored,n_compared,prob_moved,pct_moved,crossed_lo,crossed_mid,crossed_hi,top_cve,top_old,top_new,reset
2026-07-18,v2026.06.15,349390,349158,2934,334397,5,33,5,CVE-2021-32628,0.03636,0.12619,
2026-07-19,v2026.06.15,349491,349390,2804,322627,2,34,8,CVE-2019-6453,0.71776,0.54292,
2026-07-20,v2026.06.15,349944,349491,2709,347002,3,16,15,CVE-2002-0693,0.52422,0.31337,
2026-07-21,v2026.06.15,350223,349944,3054,337724,5,27,3,CVE-2005-4360,0.86729,0.72890,
2026-07-22,v2026.06.15,351674,350218,3660,349107,12,50,12,CVE-2026-0770,0.10371,0.54503,
2026-07-23,v2026.06.15,351912,351674,3821,343601,13,28,2,CVE-2008-6221,0.27888,0.37692,
2026-07-24,v2026.06.15,352290,351912,10188,343031,104,204,94,CVE-2026-48908,0.01569,0.88130,
2026-07-25,v2026.06.15,352705,352288,3709,344524,5,29,3,CVE-2020-27991,0.21749,0.34013,
2026-07-26,v2026.06.15,352717,352705,3128,329579,1,40,9,CVE-2007-2815,0.71905,0.39208,
2026-07-27,v2026.06.15,352721,352717,2905,315702,13,24,5,CVE-2025-46618,0.28742,0.40949,
2026-07-28,v2026.06.15,353212,352719,4508,348946,12,36,7,CVE-2025-49132,0.13105,0.40019,
2026-07-29,v2026.06.15,353521,353212,3927,345496,43,52,11,CVE-2026-16232,0.12685,0.69969,
2026-07-30,v2026.06.15,354176,353516,4349,350212,12,26,7,CVE-2025-22037,0.37115,0.65736,
2026-07-31,v2026.06.15,354453,354176,3344,347502,23,23,4,CVE-2005-4360,0.72890,0.86729,
2026-08-02,v2026.06.15,354702,354420,5475,343156,7,51,13,CVE-2026-12569,0.02263,0.30198,
2026-08-03,v2026.06.15,354846,354702,2945,337754,2,19,11,CVE-2026-42897,0.05640,0.70307,
2026-08-04,v2026.06.15,355094,354845,4619,348132,22,28,9,CVE-2025-6389,0.44442,0.73089,
2026-08-05,v2026.06.15,355453,355093,4642,351432,24,37,4,CVE-2026-34486,0.42627,0.81160,
2026-08-06,v2026.06.15,355820,355452,4220,351200,10,43,9,CVE-2026-48284,0.28002,0.04895,
2026-08-07,v2026.06.15,356283,355819,3755,349385,32,30,6,CVE-2025-6197,0.03711,0.66785,
2026-08-08,v2026.06.15,356453,356283,3491,341575,38,24,0,CVE-2025-11953,0.61921,0.93980,
2026-08-09,v2026.06.15,356530,356453,2918,327813,3,30,8,CVE-2008-5789,0.30093,0.44990,
2026-08-10,v2026.06.15,356665,356530,2761,340992,7,21,5,CVE-2025-49132,0.41137,0.53389,
2026-08-11,v2026.06.15,357322,356661,3232,351009,4,37,15,CVE-2026-34908,0.61906,0.85194,
2026-08-12,v2026.06.15,358265,357322,3874,354342,17,60,6,CVE-2005-1018,0.58983,0.51805,
2026-08-13,v2026.06.15,358648,358262,3230,352517,4,22,4,CVE-2026-72898,0.01074,0.10400,
