observed_date,cve,change_type,field,old,new,granularity
2022-01-18,CVE-2013-3900,added,,,,capture
2022-01-18,CVE-2015-7450,added,,,,capture
2022-01-18,CVE-2017-1000486,added,,,,capture
2022-01-18,CVE-2018-13382,added,,,,capture
2022-01-18,CVE-2018-13383,added,,,,capture
2022-01-18,CVE-2019-10149,added,,,,capture
2022-01-18,CVE-2019-1458,added,,,,capture
2022-01-18,CVE-2019-1579,added,,,,capture
2022-01-18,CVE-2019-2725,added,,,,capture
2022-01-18,CVE-2019-7609,added,,,,capture
2022-01-18,CVE-2019-9670,added,,,,capture
2022-01-18,CVE-2020-6572,added,,,,capture
2022-01-18,CVE-2021-22017,added,,,,capture
2022-01-18,CVE-2021-27860,added,,,,capture
2022-01-18,CVE-2021-36260,added,,,,capture
2022-01-24,CVE-2006-1547,added,,,,capture
2022-01-24,CVE-2012-0391,added,,,,capture
2022-01-24,CVE-2018-8453,added,,,,capture
2022-01-24,CVE-2020-11978,added,,,,capture
2022-01-24,CVE-2020-13671,added,,,,capture
2022-01-24,CVE-2020-13927,added,,,,capture
2022-01-24,CVE-2020-14864,added,,,,capture
2022-01-24,CVE-2021-21315,added,,,,capture
2022-01-24,CVE-2021-21975,added,,,,capture
2022-01-24,CVE-2021-22991,added,,,,capture
2022-01-24,CVE-2021-25296,added,,,,capture
2022-01-24,CVE-2021-25297,added,,,,capture
2022-01-24,CVE-2021-25298,added,,,,capture
2022-01-24,CVE-2021-32648,added,,,,capture
2022-01-24,CVE-2021-33766,added,,,,capture
2022-01-24,CVE-2021-35247,added,,,,capture
2022-01-24,CVE-2021-40870,added,,,,capture
2022-02-25,CVE-2013-3906,added,,,,capture
2022-02-25,CVE-2014-1761,added,,,,capture
2022-02-25,CVE-2014-1776,added,,,,capture
2022-02-25,CVE-2014-4404,added,,,,capture
2022-02-25,CVE-2014-6271,added,,,,capture
2022-02-25,CVE-2014-7169,added,,,,capture
2022-02-25,CVE-2015-1130,added,,,,capture
2022-02-25,CVE-2015-1635,added,,,,capture
2022-02-25,CVE-2015-2051,added,,,,capture
2022-02-25,CVE-2016-3088,added,,,,capture
2022-02-25,CVE-2017-0144,added,,,,capture
2022-02-25,CVE-2017-0145,added,,,,capture
2022-02-25,CVE-2017-0262,added,,,,capture
2022-02-25,CVE-2017-0263,added,,,,capture
2022-02-25,CVE-2017-10271,added,,,,capture
2022-02-25,CVE-2017-5689,added,,,,capture
2022-02-25,CVE-2017-8464,added,,,,capture
2022-02-25,CVE-2017-9791,added,,,,capture
