date,backlog_total,awaiting_analysis,undergoing_analysis,received
2026-07-09,2242,1479,271,492
2026-07-10,2159,1520,198,441
2026-07-11,2155,1601,276,278
2026-07-12,2206,1621,256,329
2026-07-13,2276,1621,256,399
2026-07-14,2083,1647,227,209
2026-07-15,2805,2192,361,252
2026-07-16,2673,2168,433,72
2026-07-17,2673,2168,433,72
2026-07-18,2530,2141,278,111
2026-07-19,2628,2141,278,209
2026-07-20,3062,2141,263,658
2026-07-21,3057,2020,233,804
2026-07-22,4204,2016,312,1876
2026-07-23,4181,1946,405,1830
2026-07-24,4186,1866,486,1834
2026-07-25,3914,2358,938,618
2026-07-26,4201,2358,938,905
2026-07-27,4214,2358,938,918
2026-07-28,4283,2593,729,961
2026-07-29,4123,2670,619,834
2026-07-30,4569,2543,539,1487
2026-07-31,4627,2232,853,1542
2026-08-01,4338,2763,1060,515
