observed_date,cve,cna,change_type,version_old,score_old,version_new,score_new
2026-07-15,CVE-2022-34659,siemens,first_score,,,v4,6.9
2026-07-15,CVE-2024-21529,snyk,version_shift,v3,8.2,v4,8.8
2026-07-15,CVE-2026-10642,zephyr,rescore,v3,6.5,v3,4.6
2026-07-15,CVE-2026-7891,DIVD,rescore,v4,9.3,v4,9.1
2026-07-16,CVE-2025-40646,INCIBE,rescore,v4,5.1,v4,5.9
2026-07-19,CVE-2026-52968,Linux,first_score,,,v3,8.8
2026-07-19,CVE-2026-53159,Linux,first_score,,,v3,8.8
2026-07-19,CVE-2026-53329,Linux,first_score,,,v3,7.0
2026-07-19,CVE-2026-53341,Linux,first_score,,,v3,7.8
2026-07-19,CVE-2026-53354,Linux,first_score,,,v3,8.8
2026-07-19,CVE-2026-53355,Linux,first_score,,,v3,9.8
2026-07-19,CVE-2026-53356,Linux,first_score,,,v3,7.8
2026-07-19,CVE-2026-53357,Linux,first_score,,,v3,8.0
2026-07-19,CVE-2026-53358,Linux,first_score,,,v3,8.8
2026-07-19,CVE-2026-53359,Linux,first_score,,,v3,8.8
2026-07-19,CVE-2026-53360,Linux,first_score,,,v3,8.8
2026-07-19,CVE-2026-53361,Linux,first_score,,,v3,7.1
2026-07-19,CVE-2026-53362,Linux,first_score,,,v3,7.8
2026-07-19,CVE-2026-53363,Linux,first_score,,,v3,9.8
2026-07-19,CVE-2026-53366,Linux,first_score,,,v3,7.8
2026-07-19,CVE-2026-60137,WPScan,first_score,,,v3,5.9
2026-07-19,CVE-2026-63030,WPScan,first_score,,,v3,9.8
2026-07-21,CVE-2026-34632,adobe,rescore,v3,8.2,v3,8.6
2026-07-21,CVE-2026-38752,mitre,first_score,,,v3,2.9
2026-07-21,CVE-2026-38753,mitre,first_score,,,v3,4.9
2026-07-21,CVE-2026-38754,mitre,first_score,,,v3,5.1
2026-07-21,CVE-2026-38755,mitre,first_score,,,v3,2.9
2026-07-21,CVE-2026-53368,Linux,first_score,,,v3,7.1
2026-07-21,CVE-2026-53369,Linux,first_score,,,v3,8.4
2026-07-21,CVE-2026-53373,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-53374,Linux,first_score,,,v3,8.8
2026-07-21,CVE-2026-53375,Linux,first_score,,,v3,8.8
2026-07-21,CVE-2026-53380,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-53381,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-53383,Linux,first_score,,,v3,7.5
2026-07-21,CVE-2026-53384,Linux,first_score,,,v3,9.8
2026-07-21,CVE-2026-53386,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-53387,Linux,first_score,,,v3,7.1
2026-07-21,CVE-2026-53388,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-53389,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-53390,Linux,first_score,,,v3,8.1
2026-07-21,CVE-2026-53391,Linux,first_score,,,v3,7.5
2026-07-21,CVE-2026-53392,Linux,first_score,,,v3,7.5
2026-07-21,CVE-2026-53394,Linux,first_score,,,v3,7.5
2026-07-21,CVE-2026-53395,Linux,first_score,,,v3,7.5
2026-07-21,CVE-2026-53396,Linux,first_score,,,v3,7.1
2026-07-21,CVE-2026-53397,Linux,first_score,,,v3,7.5
2026-07-21,CVE-2026-53398,Linux,first_score,,,v3,9.8
2026-07-21,CVE-2026-53399,Linux,first_score,,,v3,9.8
2026-07-21,CVE-2026-53400,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-53401,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-53402,Linux,first_score,,,v3,7.1
2026-07-21,CVE-2026-63793,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63795,Linux,first_score,,,v3,10.0
2026-07-21,CVE-2026-63796,Linux,first_score,,,v3,8.8
2026-07-21,CVE-2026-63797,Linux,first_score,,,v3,8.4
2026-07-21,CVE-2026-63799,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63800,Linux,first_score,,,v3,9.8
2026-07-21,CVE-2026-63801,Linux,first_score,,,v3,8.8
2026-07-21,CVE-2026-63802,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63803,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63805,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63806,Linux,first_score,,,v3,7.1
2026-07-21,CVE-2026-63807,Linux,first_score,,,v3,8.8
2026-07-21,CVE-2026-63808,Linux,first_score,,,v3,9.8
2026-07-21,CVE-2026-63809,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63812,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63813,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63814,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63815,Linux,first_score,,,v3,8.4
2026-07-21,CVE-2026-63816,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63817,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63818,Linux,first_score,,,v3,8.4
2026-07-21,CVE-2026-63819,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63823,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63824,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63825,Linux,first_score,,,v3,9.8
2026-07-21,CVE-2026-63827,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63828,Linux,first_score,,,v3,8.4
2026-07-21,CVE-2026-63829,Linux,first_score,,,v3,8.8
2026-07-21,CVE-2026-63830,Linux,first_score,,,v3,9.4
2026-07-21,CVE-2026-63831,Linux,first_score,,,v3,8.8
2026-07-21,CVE-2026-63832,Linux,first_score,,,v3,8.8
2026-07-21,CVE-2026-63833,Linux,first_score,,,v3,7.1
2026-07-21,CVE-2026-63840,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63841,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63842,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63843,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63844,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63845,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63846,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63847,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63848,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63849,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63850,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63851,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63852,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63853,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63854,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63855,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63856,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63857,Linux,first_score,,,v3,9.8
2026-07-21,CVE-2026-63858,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63860,Linux,first_score,,,v3,8.4
2026-07-21,CVE-2026-63863,Linux,first_score,,,v3,8.8
2026-07-21,CVE-2026-63864,Linux,first_score,,,v3,8.4
2026-07-21,CVE-2026-63865,Linux,first_score,,,v3,8.8
2026-07-21,CVE-2026-63866,Linux,first_score,,,v3,8.8
2026-07-21,CVE-2026-63867,Linux,first_score,,,v3,8.2
2026-07-21,CVE-2026-63869,Linux,first_score,,,v3,7.6
2026-07-21,CVE-2026-63870,Linux,first_score,,,v3,7.8
2026-07-21,CVE-2026-63872,Linux,first_score,,,v3,7.5
